model,seed,brier,logloss,auc,auc_btc,auc_eth,auc_sol,auc_xrp
PRISM,2024,0.25006,0.69329,0.52643,0.52295,0.52716,0.53703,0.51861
PRISM,2025,0.25109,0.69541,0.52314,0.52356,0.52647,0.52982,0.51270
PRISM,2026,0.25151,0.69624,0.51127,0.51698,0.50833,0.50988,0.50987
LSTM,2024,0.25241,0.69813,0.50892,0.50967,0.51922,0.50131,0.50550
LSTM,2025,0.25365,0.70069,0.50589,0.50536,0.51272,0.50307,0.50240
LSTM,2026,0.25498,0.70370,0.50945,0.51152,0.51823,0.50154,0.50650
Transformer,2024,0.25090,0.69498,0.50703,0.50270,0.50564,0.50956,0.51023
Transformer,2025,0.25250,0.69823,0.50791,0.52126,0.48073,0.51831,0.51136
Transformer,2026,0.25240,0.69801,0.50267,0.50503,0.49564,0.50078,0.50926
Linear,2024,0.25067,0.69453,0.51843,0.52124,0.52010,0.52177,0.51062
Linear,2025,0.25074,0.69466,0.51860,0.52075,0.51928,0.52289,0.51146
Linear,2026,0.25069,0.69456,0.51847,0.52136,0.51817,0.52436,0.50999
RLinear,2024,0.25324,0.69983,0.50583,0.51195,0.49944,0.50639,0.50556
RLinear,2025,0.25330,0.69997,0.50584,0.51194,0.49880,0.50668,0.50594
RLinear,2026,0.25327,0.69991,0.50580,0.51240,0.49792,0.50807,0.50481
