model,seed,metric,btc,eth,sol,xrp,avg
PRISM,2024,brier,0.25009,0.25021,0.24966,0.25027,0.25006
PRISM,2024,logloss,0.69329,0.69358,0.69253,0.69373,0.69329
PRISM,2024,auc,0.52295,0.52716,0.53703,0.51861,0.52643
PRISM,2025,brier,0.25156,0.25103,0.25073,0.25102,0.25109
PRISM,2025,logloss,0.69641,0.69530,0.69469,0.69525,0.69541
PRISM,2025,auc,0.52356,0.52647,0.52982,0.51270,0.52314
PRISM,2026,brier,0.25119,0.25172,0.25129,0.25186,0.25151
PRISM,2026,logloss,0.69559,0.69660,0.69580,0.69698,0.69624
PRISM,2026,auc,0.51698,0.50833,0.50988,0.50987,0.51127
Linear,2024,brier,0.25041,0.25118,0.25016,0.25094,0.25067
Linear,2024,logloss,0.69398,0.69557,0.69348,0.69508,0.69453
Linear,2024,auc,0.52124,0.52010,0.52177,0.51062,0.51843
Linear,2025,brier,0.25048,0.25133,0.25020,0.25096,0.25074
Linear,2025,logloss,0.69413,0.69587,0.69355,0.69511,0.69466
Linear,2025,auc,0.52075,0.51928,0.52289,0.51146,0.51860
Linear,2026,brier,0.25044,0.25129,0.24999,0.25105,0.25069
Linear,2026,logloss,0.69405,0.69579,0.69314,0.69529,0.69456
Linear,2026,auc,0.52136,0.51817,0.52436,0.50999,0.51847
LSTM,2024,brier,0.25266,0.25202,0.25306,0.25190,0.25241
LSTM,2024,logloss,0.69867,0.69737,0.69945,0.69703,0.69813
LSTM,2024,auc,0.50967,0.51922,0.50131,0.50550,0.50892
LSTM,2025,brier,0.25363,0.25370,0.25385,0.25341,0.25365
LSTM,2025,logloss,0.70065,0.70085,0.70110,0.70017,0.70069
LSTM,2025,auc,0.50536,0.51272,0.50307,0.50240,0.50589
LSTM,2026,brier,0.25469,0.25453,0.25645,0.25423,0.25498
LSTM,2026,logloss,0.70320,0.70282,0.70670,0.70209,0.70370
LSTM,2026,auc,0.51152,0.51823,0.50154,0.50650,0.50945
Transformer,2024,brier,0.25223,0.25024,0.25046,0.25068,0.25090
Transformer,2024,logloss,0.69766,0.69364,0.69410,0.69451,0.69498
Transformer,2024,auc,0.50270,0.50564,0.50956,0.51023,0.50703
Transformer,2025,brier,0.25139,0.25392,0.25115,0.25356,0.25250
Transformer,2025,logloss,0.69594,0.70110,0.69552,0.70037,0.69823
Transformer,2025,auc,0.52126,0.48073,0.51831,0.51136,0.50791
Transformer,2026,brier,0.25121,0.25066,0.25146,0.24979,0.25078
Transformer,2026,logloss,0.69559,0.69450,0.69613,0.69273,0.69474
Transformer,2026,auc,0.50391,0.51483,0.51583,0.51715,0.51293
RLinear,2024,brier,0.25260,0.25385,0.25235,0.25416,0.25324
RLinear,2024,logloss,0.69854,0.70108,0.69798,0.70173,0.69983
RLinear,2024,auc,0.51195,0.49944,0.50639,0.50556,0.50583
RLinear,2025,brier,0.25264,0.25398,0.25238,0.25421,0.25330
RLinear,2025,logloss,0.69863,0.70135,0.69804,0.70185,0.69997
RLinear,2025,auc,0.51194,0.49880,0.50668,0.50594,0.50584
RLinear,2026,brier,0.25262,0.25399,0.25218,0.25430,0.25327
RLinear,2026,logloss,0.69858,0.70137,0.69764,0.70203,0.69991
RLinear,2026,auc,0.51240,0.49792,0.50807,0.50481,0.50580
