name,seq_len,lr,wd,epochs,patience,poly_only_loss,params_M,train_s,best_val_polymse,MAE_avg,RMSE_avg,MAE_btc,MAE_eth,MAE_sol,MAE_xrp,regime_dim,graph_hidden,linear_rank,num_bands,num_regimes
ctx_192,192,0.0008,0.0001,20,6,False,0.098757,198.63415718078613,1.0217687766999006,0.4886662471368446,0.49644341085883864,0.4886519399956575,0.48956859528765095,0.48803295267684355,0.48841150058722643,,,,,
regimes_8,96,0.0008,0.0001,20,6,False,0.073737,150.23165845870972,1.0101835872187759,0.48896767794613605,0.49400308040085933,0.4887998142635388,0.48866454183394104,0.4888884424974348,0.48951791318962956,,,,,8.0
big_model,96,0.0008,0.0001,20,6,False,0.299765,174.3197717666626,1.0100755059357844,0.4890301031091512,0.494601226996155,0.4892255347806565,0.48986588310326334,0.4885240941720228,0.4885049003806621,128.0,256.0,16.0,7.0,
ctx_48,48,0.0008,0.0001,20,6,False,0.061029,268.2474944591522,1.006226073397268,0.4894285849526715,0.4943829603748799,0.4899071042254088,0.4890089041733422,0.48972712175718813,0.489071209654747,,,,,
long_train,96,0.0008,0.0001,40,10,False,0.073605,247.83825778961182,1.01367982228597,0.4895376318041383,0.4948945859812254,0.48958131243045283,0.4898116457859045,0.4893561878597302,0.4894013811404656,,,,,
baseline_default,96,0.0008,0.0001,20,6,False,0.073605,173.34291338920593,1.013675135193449,0.4895397391069899,0.49488693928000166,0.48958003683437823,0.48982295566806705,0.48935465865581046,0.4894013052697038,,,,,
small_model,96,0.0008,0.0001,20,6,False,0.073605,171.51436233520508,1.013675135193449,0.4895397391069899,0.49488693928000166,0.48958003683437823,0.48982295566806705,0.48935465865581046,0.4894013052697038,32.0,64.0,4.0,3.0,
wd_1e-3,96,0.0008,0.001,20,6,False,0.073605,171.54957556724548,1.0136753134053162,0.48954027466086314,0.49488777770985065,0.48958073387810996,0.48982325703519647,0.4893550981621357,0.4894020095680104,,,,,
regimes_2,96,0.0008,0.0001,20,6,False,0.073539,172.74620366096497,1.0103333002389079,0.48954644717051754,0.4949089430756205,0.4897817666103647,0.48949154311239057,0.4891131892257183,0.48979928973359654,,,,,2.0
tiny_polyloss,96,0.0008,0.0001,20,6,True,0.043249,127.84131836891174,1.0087956184088582,0.4895620096693326,0.4942421609730578,0.48925788413892646,0.490286574386379,0.4888089000139675,0.4898946801380575,16.0,32.0,2.0,3.0,2.0
lr_3e-3,96,0.003,0.0001,20,6,False,0.073605,175.99591088294983,1.0130054360688334,0.4896336450440759,0.49570013053085066,0.49051445962509904,0.48913144717692575,0.4889227258044453,0.4899659475698335,,,,,
lr_3e-4,96,0.0003,0.0001,20,6,False,0.073605,313.2150990962982,1.0169062361572727,0.4897027933843162,0.4963346243521674,0.48899624578170653,0.4899603210425037,0.4901042415298486,0.4897503651832061,,,,,
lr_1e-4,96,0.0001,0.0001,20,6,False,0.073605,336.30124402046204,1.017713407073358,0.48972032829623213,0.49528344384822787,0.4896487533762791,0.48987032350760823,0.4894408037091964,0.48992143259184484,,,,,
poly_loss_only_lr3e-4,96,0.0003,0.0001,20,6,True,0.073605,172.87992691993713,1.0068907581194482,0.4897703562221134,0.49532172477927416,0.48970102470385857,0.4901999825720931,0.48849383594494805,0.49068658166755397,,,,,
small_polyloss_lr3e-4,96,0.0003,0.0001,20,6,True,0.073605,155.26532340049744,1.0068907581194482,0.4897703562221134,0.49532172477927416,0.48970102470385857,0.4901999825720931,0.48849383594494805,0.49068658166755397,32.0,64.0,4.0,3.0,
poly_loss_only,96,0.0008,0.0001,20,6,True,0.073605,134.18686389923096,1.0070878658631834,0.49017166003183404,0.4948972964891059,0.4898604660517818,0.4903333642781253,0.48938948001045435,0.49110332978697474,,,,,
small_polyloss_long,96,0.0008,0.0001,40,10,True,0.073605,207.84020137786865,1.0070878658631834,0.49017166003183404,0.4948972964891059,0.4898604660517818,0.4903333642781253,0.48938948001045435,0.49110332978697474,32.0,64.0,4.0,3.0,
small_polyloss,96,0.0008,0.0001,20,6,True,0.073605,134.899507522583,1.0070878658631834,0.49017166003183404,0.4948972964891059,0.4898604660517818,0.4903333642781253,0.48938948001045435,0.49110332978697474,32.0,64.0,4.0,3.0,
small_polyloss_wd1e-3,96,0.0008,0.001,20,6,True,0.073605,116.4285089969635,1.0070872637960646,0.4901716948689069,0.494897136649024,0.4898605325520511,0.49033320497975297,0.4893896483770452,0.49110339356677846,32.0,64.0,4.0,3.0,
big_ctx192_polyloss,192,0.0008,0.0001,20,6,True,0.399797,182.67823457717896,1.0155613149205844,0.4903533575619775,0.49713686891963393,0.48953978210229737,0.4910449691752508,0.4891845077110607,0.49164417125930115,128.0,256.0,16.0,7.0,
